,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
402,Am Timan,TD,79.56,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
404,Cape Canaveral,US,88.21,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
407,Kieta,PG,78.03,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
409,Aitape,PG,76.93,overcast clouds,-3.1374,142.3475,NaN
413,Ranot,TH,82.17,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
415,Pak Phanang,TH,82.08,overcast clouds,8.3511,100.202,Green Park Inn Hotel
416,Serramanna,IT,80.4,scattered clouds,39.4244,8.9244,Polly
417,Takoradi,GH,80.06,light rain,4.8845,-1.7554,Raybow International Hotel
420,Soyo,AO,80.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
422,Pingxiang,CN,78.67,light rain,27.6167,113.85,Haiyuntian Hotel
423,Cleburne,US,78.96,thunderstorm,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
428,Faanui,PF,79.29,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
430,Koulikoro,ML,88.75,broken clouds,14.0,-7.75,NaN
431,Omboue,GA,78.04,overcast clouds,-1.5746,9.2618,Hotel Olako
435,Buala,SB,79.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
444,Port Keats,AU,79.65,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
446,Fare,PF,79.03,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
448,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
450,Miami Beach,US,88.02,broken clouds,25.7906,-80.1301,Albion Hotel
452,Santa Rosa,PH,82.38,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
454,Jieshi,CN,79.75,scattered clouds,22.8134,115.8257,Yuehai Hotel
463,Micco,US,88.07,clear sky,27.8806,-80.5003,Seashell Suites Resort
467,San Francisco,US,79.23,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
468,Porto Novo,BJ,85.82,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
469,Bima,ID,75.54,broken clouds,-8.4667,118.7167,Lambitu Hotel
471,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
473,Bani Walid,LY,77.45,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
474,San Felipe,VE,86.14,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
480,Manoharpur,IN,76.15,broken clouds,27.3,75.95,कैथल हरियाणा होटल
482,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
483,Bom Jesus Dos Perdoes,BR,78.42,moderate rain,-23.135,-46.4653,Sitio Rancho Apallosa
488,Hobyo,SO,79.16,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
491,Qianjiang,CN,77.63,light rain,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
494,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
496,Angul,IN,79.14,broken clouds,20.85,85.1,Bluebay 08 satkosia Tarava
498,Chibombo,ZM,83.07,broken clouds,-14.6569,28.0706,Chibombo District Council Guest House
499,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
500,San Patricio,US,83.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
506,Phan Thiet,VN,76.17,overcast clouds,10.9333,108.1,Hotel Saigon-PT
509,Eyl,SO,78.82,few clouds,7.9803,49.8164,Amiin Hotel
512,Cancun,MX,87.73,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
513,Bambanglipuro,ID,76.42,overcast clouds,-7.95,110.2833,Puri Brata
514,Porbandar,IN,81.61,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
517,Manokwari,ID,77.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
518,Kafue,ZM,79.92,scattered clouds,-15.7691,28.1814,Purview Lodges Ltd
519,Baracoa,CU,86.27,broken clouds,20.3467,-74.4958,Hostal Rio Miel
521,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
531,Waingapu,ID,78.48,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
532,Ongandjera,,82.51,scattered clouds,-17.8833,15.0667,Onesto Guesthouse
533,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
537,Fukue,JP,75.02,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
540,Basco,PH,83.48,light rain,20.4487,121.9702,Nathaniel's Lodge
545,Boyolangu,ID,75.06,overcast clouds,-8.1181,111.8935,Yos ega cv
548,Sibolga,ID,76.15,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
555,Vallenar,CL,78.46,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
564,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
565,Mahibadhoo,MV,81.75,broken clouds,3.7833,72.9667,Omadhoo Inn
566,Les Cayes,HT,88.74,few clouds,18.2,-73.75,Villa Orphee
