City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Abhar,IR,2021-10-02 04:19:20,36.1468,49.218,48.65,85,93,5.73,overcast clouds
60,Balkhash,KZ,2021-10-02 04:19:20,46.844,74.9804,47.01,46,0,15.66,clear sky
61,Kutum,SD,2021-10-02 04:19:21,14.2,24.6667,73.06,25,0,6.31,clear sky
62,Hermanus,ZA,2021-10-02 04:09:34,-34.4187,19.2345,53.91,75,68,18.16,light rain
63,Vigrestad,NO,2021-10-02 04:19:22,58.5667,5.7,53.01,75,36,15.75,scattered clouds
64,Sevsk,RU,2021-10-02 04:19:22,52.1491,34.4926,39.78,86,27,6.22,scattered clouds
65,Provideniya,RU,2021-10-02 04:16:56,64.3833,-173.3,25.63,78,31,6.11,scattered clouds
66,Te Anau,NZ,2021-10-02 04:09:47,-45.4167,167.7167,53.24,69,98,5.17,overcast clouds
67,Chicama,PE,2021-10-02 04:19:24,-7.8447,-79.1469,57.74,85,95,5.97,overcast clouds
68,Traverse City,US,2021-10-02 04:19:24,44.7631,-85.6206,66.61,70,1,5.75,clear sky
69,Aginskoye,RU,2021-10-02 04:19:25,51.1,114.53,44.04,44,72,11.83,broken clouds
70,Akdepe,TM,2021-10-02 04:19:25,42.0551,59.3788,50.09,35,0,12.91,clear sky
71,Marmora,IT,2021-10-02 04:19:26,44.4583,7.094,51.39,94,96,2.04,overcast clouds
72,Kirkcudbright,GB,2021-10-02 04:19:26,54.8383,-4.0491,50.31,81,100,15.48,overcast clouds
73,Keti Bandar,PK,2021-10-02 04:19:27,24.1447,67.4497,84.18,75,9,14.47,clear sky
74,Mogadishu,SO,2021-10-02 04:19:27,2.0371,45.3438,78.4,83,55,14.12,broken clouds
75,Middelburg,ZA,2021-10-02 04:19:28,-25.7751,29.4648,58.73,74,84,6.26,broken clouds
76,Goderich,CA,2021-10-02 04:18:49,43.7501,-81.7165,62.92,82,100,9.22,overcast clouds
77,Talnakh,RU,2021-10-02 04:19:28,69.4865,88.3972,25.36,91,93,2.1,overcast clouds
78,Hilo,US,2021-10-02 04:10:00,19.7297,-155.09,80.33,80,90,8.05,light rain
79,Winterberg,DE,2021-10-02 04:19:29,51.2,8.5333,48.65,93,96,6.73,overcast clouds
80,Ancud,CL,2021-10-02 04:16:38,-41.8697,-73.8203,42.33,66,54,16.58,broken clouds
81,Mount Gambier,AU,2021-10-02 04:19:30,-37.8333,140.7667,62.51,65,98,3.74,overcast clouds
82,Olafsvik,IS,2021-10-02 04:19:30,64.8945,-23.7142,43.48,86,100,23.15,overcast clouds
83,Ponta Do Sol,PT,2021-10-02 04:09:32,32.6667,-17.1,71.71,76,1,3.85,clear sky
84,Eyl,SO,2021-10-02 04:19:31,7.9803,49.8164,80.08,74,48,21.25,scattered clouds
85,Dikson,RU,2021-10-02 04:15:44,73.5069,80.5464,31.73,80,100,19.15,overcast clouds
86,Turukhansk,RU,2021-10-02 04:16:10,65.8167,87.9833,33.33,95,99,4.27,overcast clouds
87,Beaverlodge,CA,2021-10-02 04:19:33,55.2166,-119.4361,47.64,53,96,4.63,overcast clouds
88,Mapiripan,CO,2021-10-02 04:19:33,2.8892,-72.1256,73.33,93,100,2.68,overcast clouds
89,Avarua,CK,2021-10-02 04:09:50,-21.2078,-159.775,78.85,73,75,10.36,broken clouds
90,Vaitape,PF,2021-10-02 04:19:34,-16.5167,-151.75,79.11,74,7,17.6,clear sky
91,Kaitangata,NZ,2021-10-02 04:19:35,-46.2817,169.8464,60.93,51,98,8.05,overcast clouds
92,Cayenne,GF,2021-10-02 04:19:35,4.9333,-52.3333,83.08,78,0,1.99,clear sky
93,San-Pedro,CI,2021-10-02 04:19:36,4.7485,-6.6363,75.38,92,70,2.24,broken clouds
94,Beringovskiy,RU,2021-10-02 04:19:37,63.05,179.3167,27.7,65,3,1.74,clear sky
95,Kapaa,US,2021-10-02 04:15:34,22.0752,-159.319,82.38,76,75,1.99,broken clouds
96,Kaz,RU,2021-10-02 04:19:38,52.9113,87.3105,35.8,99,100,5.84,light rain
97,Gamba,GA,2021-10-02 04:19:38,-2.65,10.0,74.5,88,99,2.19,overcast clouds
98,Umred,IN,2021-10-02 04:19:39,20.85,79.3333,73.69,75,81,4.43,heavy intensity rain
99,Thompson,CA,2021-10-02 04:19:41,55.7435,-97.8558,50.16,81,1,3.44,clear sky
100,Bafra,TR,2021-10-02 04:19:41,41.5678,35.9069,58.82,76,14,5.35,few clouds
101,Conceicao Da Barra,BR,2021-10-02 04:19:42,-18.5933,-39.7322,73.08,83,1,8.46,clear sky
102,Ariquemes,BR,2021-10-02 04:16:03,-9.9133,-63.0408,76.35,74,16,1.25,few clouds
103,Zyryanka,RU,2021-10-02 04:19:42,65.75,150.85,32.59,93,100,7.78,overcast clouds
104,Kalianget,ID,2021-10-02 04:19:43,-7.05,113.9333,84.42,64,98,5.93,overcast clouds
105,Khatanga,RU,2021-10-02 04:15:38,71.9667,102.5,29.12,86,100,3.58,overcast clouds
106,Esperance,AU,2021-10-02 04:09:44,-33.8667,121.9,61.03,60,30,26.04,scattered clouds
107,Atuona,PF,2021-10-02 04:15:16,-9.8,-139.0333,78.28,73,87,20.85,overcast clouds
108,Leningradskiy,RU,2021-10-02 04:19:45,69.3833,178.4167,14.97,88,12,5.55,few clouds
109,Lagoa,PT,2021-10-02 04:09:54,39.05,-27.9833,70.41,91,8,15.43,clear sky
110,Palembang,ID,2021-10-02 04:19:45,-2.9167,104.7458,86.09,70,75,0.0,broken clouds
111,Namatanai,PG,2021-10-02 04:19:46,-3.6667,152.4333,85.1,65,92,4.52,overcast clouds
112,Callaway,US,2021-10-02 04:19:46,30.153,-85.5699,73.33,84,1,3.44,clear sky
113,Dingle,PH,2021-10-02 04:19:47,10.9995,122.6711,87.12,70,94,2.53,overcast clouds
114,Kununurra,AU,2021-10-02 04:19:48,-15.7667,128.7333,102.18,21,10,5.75,clear sky
115,Saint-Philippe,RE,2021-10-02 04:09:52,-21.3585,55.7679,74.75,72,35,12.26,scattered clouds
116,Hofn,IS,2021-10-02 04:19:48,64.2539,-15.2082,48.54,79,100,16.98,overcast clouds
117,Farafangana,MG,2021-10-02 04:19:49,-22.8167,47.8333,71.04,82,4,11.14,clear sky
118,Butaritari,KI,2021-10-02 04:18:24,3.0707,172.7902,82.83,74,100,17.09,overcast clouds
119,San Cristobal,VE,2021-10-02 04:19:50,7.7669,-72.225,69.98,91,7,1.79,clear sky
120,Cockburn Town,TC,2021-10-02 04:19:50,21.4612,-71.1419,82.04,75,92,15.28,overcast clouds
121,Bandarbeyla,SO,2021-10-02 04:19:51,9.4942,50.8122,80.11,77,11,24.2,few clouds
122,Tonj,SS,2021-10-02 04:19:51,7.2737,28.6822,70.93,91,97,3.74,overcast clouds
123,Nikolskoye,RU,2021-10-02 04:15:31,59.7035,30.7861,46.87,95,67,4.52,broken clouds
